ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	dPSI	event_id	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd
3061	AT1G79270	ECT8	chr1	+	29816789.0	29816907.0	29816606.0	29816677.0	29816997.0	29817068.0	3061	64,458,168,49,153,83,114,232,74,149,43,149,175,0,135,38,157,497,0,266,417,207,209,159,349,498,183,217	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,420,502,140,313,219,433,385,257,343,50,186,210,53,196,58,328,114,66,46,437,288,861,342,38,146,754,190	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr1_+_29816789-29816907-29816606-29816677-29816997-29817068												
3062	AT1G76200		chr1	+	28593923.0	28593980.0	28593773.0	28593819.0	28594494.0	28594750.0	3062	173,414,211,52,186,106,128,202,66,164,154,344,226,40,191,91,312,545,7,471,298,179,242,204,351,374,231,277	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0	217,237,359,114,377,103,315,333,150,294,114,309,229,124,359,114,430,213,86,174,382,444,1023,265,80,218,679,151	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993,1.0,0.976,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr1_+_28593923-28593980-28593773-28593819-28594494-28594750												
3063	AT1G76140		chr1	+	28574349.0	28574485.0	28574197.0	28574261.0	28574583.0	28574697.0	3063	68,120,60,22,89,32,46,61,23,49,37,52,72,7,55,10,76,134,7,107,82,73,52,49,76,123,50,72	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	84,103,113,82,118,65,160,112,87,112,22,43,44,24,70,29,84,43,36,16,112,107,285,56,19,56,196,44	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr1_+_28574349-28574485-28574197-28574261-28574583-28574697												
3064	AT2G29525	IPCS3	chr2	+	12638682.0	12638772.0	12638343.0	12638565.0	12638978.0	12639065.0	3064	7,55,10,5,17,10,10,11,5,13,7,15,16,0,9,7,9,37,0,30,16,18,7,9,20,19,26,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,20,40,33,27,23,65,34,40,26,5,5,8,5,24,9,26,10,3,2,37,42,52,21,8,9,46,18	0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.006	SE	0.006	SE_chr2_+_12638682-12638772-12638343-12638565-12638978-12639065												
3065	AT5G07980		chr5	-	2552100.0	2552237.0	2550375.0	2551926.0	2552317.0	2554344.0	3065	52,114,49,10,59,32,24,56,30,44,52,28,58,0,39,27,45,112,0,88,39,34,49,37,72,84,48,59	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0	50,77,76,47,80,92,114,88,72,55,35,68,31,39,55,31,91,22,47,19,85,91,228,58,14,65,162,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.005	SE	-0.005	SE_chr5_-_2552100-2552237-2550375-2551926-2552317-2554344												
3066	AT1G76040	CPK29	chr1	+	28538672.0	28539134.0	28537592.0	28538541.0	28539238.0	28539391.0	3066	19,31,9,9,12,28,3,12,12,7,7,15,8,2,2,1,9,12,1,30,36,4,11,18,17,48,7,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0	14,25,40,27,21,21,41,14,28,18,8,11,17,13,6,7,5,1,12,8,30,14,60,36,0,13,60,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	-0.009	SE	-0.009	SE_chr1_+_28538672-28539134-28537592-28538541-28539238-28539391												
3067	AT1G76040	CPK29	chr1	+	28538990.0	28539134.0	28537592.0	28538541.0	28539238.0	28539391.0	3067	34,55,28,34,27,46,11,27,27,25,24,25,28,2,7,3,30,33,1,63,96,44,66,63,67,92,45,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0	44,50,82,54,57,56,94,51,77,61,15,25,36,15,32,27,35,1,24,15,76,57,145,61,1,25,91,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.003	SE	-0.003	SE_chr1_+_28538990-28539134-28537592-28538541-28539238-28539391												
3068	AT2G45440	DHDPS2	chr2	+	18731735.0	18731819.0	18730839.0	18731379.0	18731939.0	18733119.0	3068	86,270,91,31,90,66,74,100,37,97,50,40,80,10,68,18,97,218,0,137,121,70,115,81,148,184,32,69	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,3	96,195,151,133,143,148,244,182,155,142,24,41,63,60,87,38,107,33,51,17,178,126,322,133,19,41,251,73	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.984,1.0,0.983,1.0,1.0,0.939,1.0,0.92	1.0,1.0,1.0,1.0,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.006	SE	-0.006	SE_chr2_+_18731735-18731819-18730839-18731379-18731939-18733119												
3069	AT5G37600	GLN1-1	chr5	-	14934791.0	14934840.0	14934517.0	14934712.0	14934942.0	14935046.0	3069	262,493,320,97,163,212,268,217,152,241,96,119,212,8,97,64,318,218,19,270,958,633,460,567,929,963,256,352	0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	368,367,507,475,446,497,790,455,625,509,138,143,217,213,262,215,621,173,255,101,1109,867,2269,727,151,423,1748,436	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,0.858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.005	SE	-0.005	SE_chr5_-_14934791-14934840-14934517-14934712-14934942-14935046												
3070	AT5G37600	GLN1-1	chr5	-	14934942.0	14935046.0	14934517.0	14934712.0	14935582.0	14935885.0	3070	0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.25	SE	-0.25	SE_chr5_-_14934942-14935046-14934517-14934712-14935582-14935885												
3071	AT5G37600	GLN1-1	chr5	-	14935134.0	14935174.0	14934942.0	14935046.0	14935582.0	14935885.0	3071	294,463,272,122,152,181,213,196,150,216,165,204,266,29,146,111,395,388,0,478,901,611,543,396,985,1301,323,494	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0	304,429,582,420,403,484,892,444,639,557,147,178,263,140,263,161,546,113,242,151,1104,814,2285,864,122,387,2077,551	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	89	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.997,1.0,0.996,1.0,1.0,1.0	1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr5_-_14935134-14935174-14934942-14935046-14935582-14935885												
3072	AT1G75670		chr1	-	28416069.0	28416221.0	28415847.0	28415957.0	28416744.0	28416867.0	3072	35,68,27,12,30,12,25,29,15,29,10,26,28,0,18,0,21,55,0,25,41,30,27,24,34,34,13,14	0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	22,31,75,47,54,39,63,40,43,50,12,15,24,17,23,59,35,8,22,18,58,44,107,48,3,9,79,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.933,NA,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.008	SE	-0.008	SE_chr1_-_28416069-28416221-28415847-28415957-28416744-28416867												
3073	AT1G75670		chr1	-	28416395.0	28416519.0	28416069.0	28416221.0	28416744.0	28416867.0	3073	63,88,42,18,37,31,24,42,30,26,23,26,34,5,30,6,66,102,2,84,54,37,72,50,48,119,11,53	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	55,62,92,63,71,55,100,110,71,75,16,43,37,24,45,38,52,28,12,14,68,70,201,72,8,42,202,37	0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,0.957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.005	SE	0.005	SE_chr1_-_28416395-28416519-28416069-28416221-28416744-28416867												
3075	AT5G51510		chr5	+	20921680.0	20921736.0	20921376.0	20921593.0	20922006.0	20922130.0	3075	57,194,75,20,56,59,60,61,45,71,33,65,63,6,43,34,63,73,0,78,119,77,71,101,87,112,37,43	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0	99,157,147,195,140,120,205,164,195,131,33,49,95,44,96,99,109,34,60,26,143,126,273,121,20,60,180,77	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,0.962,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr5_+_20921680-20921736-20921376-20921593-20922006-20922130												
3076	AT5G51510		chr5	+	20922223.0	20922330.0	20922006.0	20922130.0	20922557.0	20922621.0	3076	63,142,43,46,43,50,51,65,36,58,47,50,52,1,67,23,64,83,0,70,90,52,93,81,69,126,33,62	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,154,123,136,124,130,205,143,201,112,48,76,89,58,84,77,116,28,52,34,142,112,233,90,16,74,227,72	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.983,1.0	0.001	SE	0.001	SE_chr5_+_20922223-20922330-20922006-20922130-20922557-20922621												
3077	AT4G39080	VHA-A3	chr4	+	18212147.0	18212255.0	18211947.0	18212055.0	18212369.0	18212518.0	3077	229,463,247,97,173,178,229,243,107,257,93,130,177,19,168,68,286,330,0,260,271,166,164,138,278,351,115,127	0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	245,418,432,285,418,345,645,514,382,278,109,160,175,103,181,142,304,83,114,62,357,317,810,261,42,159,617,107	0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.992,1.0,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr4_+_18212147-18212255-18211947-18212055-18212369-18212518												
3078	AT4G39080	VHA-A3	chr4	+	18212650.0	18212804.0	18212369.0	18212518.0	18213043.0	18213204.0	3078	304,625,309,131,241,200,252,263,122,291,172,200,290,17,218,90,343,575,3,390,294,211,192,198,318,454,139,223	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	329,391,616,326,549,379,709,517,480,393,129,167,231,156,300,148,448,111,122,99,474,484,1133,307,30,192,698,189	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001	SE	0.001	SE_chr4_+_18212650-18212804-18212369-18212518-18213043-18213204												
3079	AT1G75370		chr1	-	28278371.0	28278473.0	28278221.0	28278271.0	28278569.0	28278647.0	3079	67,187,48,31,57,46,51,101,51,59,22,37,44,0,36,7,56,214,6,79,93,67,72,73,111,93,17,34	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	67,89,109,83,69,131,140,95,173,96,30,49,48,60,44,78,71,11,30,15,112,115,308,105,12,60,173,55	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.957,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.002	SE	-0.002	SE_chr1_-_28278371-28278473-28278221-28278271-28278569-28278647												
3080	AT5G64630	FAS2	chr5	+	25834744.0	25834841.0	25834452.0	25834667.0	25834961.0	25835034.0	3080	8,56,23,3,44,1,14,21,0,31,10,20,30,0,27,7,15,69,0,72,2,0,2,4,0,2,2,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,47,67,15,22,3,61,45,7,31,1,18,13,0,13,7,19,25,10,10,20,8,4,8,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA	0.007	SE	0.007	SE_chr5_+_25834744-25834841-25834452-25834667-25834961-25835034												
3081	AT4G01560	MEE49	chr4	-	678237.0	678307.0	678075.0	678158.0	678395.0	678479.0	3081	47,130,51,29,34,45,58,51,22,51,18,14,33,0,25,13,43,81,0,83,76,28,34,36,49,66,22,24	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,70,119,81,66,99,150,144,108,93,17,22,39,19,38,37,37,15,21,10,84,83,122,33,0,21,83,47	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0	98	49	1.0	1.0	0.959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.976,1.0,0.943,NA,1.0,1.0,1.0	0.001	SE	0.001	SE_chr4_-_678237-678307-678075-678158-678395-678479												
3082	AT5G17240	SDG40	chr5	+	5667314.0	5667446.0	5666822.0	5667226.0	5667589.0	5667730.0	3082	1,5,6,0,4,0,0,2,5,2,0,0,2,3,0,0,4,0,0,0,13,6,8,9,1,14,3,4	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,8,1,4,0,5,7,8,8,2,2,1,1,4,0,0,6,0,1,0,9,5,31,9,0,9,39,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.75,NA,1.0,NA,NA,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA	-0.014	SE	-0.014	SE_chr5_+_5667314-5667446-5666822-5667226-5667589-5667730												
3083	AT4G37870	PCKA	chr4	-	17803723.0	17803902.0	17803470.0	17803640.0	17803982.0	17804048.0	3083	2520,4234,2195,1081,1925,1842,1155,2117,1158,1371,2274,1687,1961,616,1569,2324,1965,3734,154,2670,2286,1539,1599,1441,2479,3541,2212,2454	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2806,3495,2818,3723,2886,3495,4120,3820,4305,2218,1550,1913,1343,1720,1878,1438,2367,848,1195,750,3736,4278,10443,2853,382,2712,7066,1335	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.0	SE	0.0	SE_chr4_-_17803723-17803902-17803470-17803640-17803982-17804048												
3084	AT4G37870	PCKA	chr4	-	17804483.0	17804782.0	17804131.0	17804305.0	17804871.0	17804972.0	3084	2085,4082,1772,803,1624,1385,1134,1920,962,1315,1014,1120,1591,174,1280,572,1418,2487,178,1719,1772,1346,1430,1326,1868,2498,725,1379	2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,6,1,0,5,2,1,0,0,0,6,0,0	2222,3138,2859,3368,3061,3345,4172,3785,4096,2072,775,1256,1078,636,1337,1198,1995,539,911,404,3178,3199,8369,2003,307,1416,4161,1191	2,0,0,1,0,4,3,7,1,1,0,2,3,0,1,0,0,0,0,0,0,0,6,0,0,0,20,2	98	49	1.0	1.0	0.998,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.999,1.0,0.994,0.998,0.999,1.0,1.0,1.0,0.995,1.0,1.0	0.998,1.0,1.0,0.999,1.0,0.998,0.999,0.996,1.0,0.999,1.0,0.997,0.994,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,1.0,0.99,0.997	-0.0	SE	-0.0	SE_chr4_-_17804483-17804782-17804131-17804305-17804871-17804972												
3085	AT4G37870	PCKA	chr4	-	17804871.0	17804972.0	17804131.0	17804305.0	17805063.0	17805148.0	3085	966,1865,817,339,847,635,462,776,459,654,288,288,532,84,512,202,547,904,56,480,919,624,695,586,702,1144,93,305	0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1022,1440,1329,1482,1380,1552,1828,1670,1754,1066,295,336,431,315,493,593,908,136,386,136,1393,1343,2544,926,71,442,1608,549	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0	SE	-0.0	SE_chr4_-_17804871-17804972-17804131-17804305-17805063-17805148												
